Job_Title,Job_Category,Skill,Job_Count
"VP, Data Science",Data Scientist,Python,1
"Sr. Data Scientist, Cyber-Security LT Contract",Data Scientist,hadoop,1
Sr. Data Scientist II,Data Scientist,hadoop,1
Sr. Data Scientist II,Data Scientist,tensor,1
Sr. Data Scientist II,Data Scientist,scikit,1
"Sr. Data Scientist, Cyber-Security LT Contract",Data Scientist,scikit,1
Sr. Data Scientist II,Data Scientist,pytorch,1
Sr. Data Scientist II,Data Scientist,keras,1
Salesforce Analytics Consultant,Data Analyst,Business_Intelligence,1
Salesforce Analytics Consultant,Data Analyst,tableau,1
"Marketing Data Analyst, May 2020 Undergrad",Data Analyst,SQL,1
"Marketing Data Analyst, May 2020 Undergrad",Data Analyst,sas,1
Senior Data Analyst,Data Analyst,Google_Analytics,1
Salesforce Analytics Consultant,Data Analyst,Python,1
Salesforce Analytics Consultant,Data Analyst,SQL,1
Salesforce Analytics Consultant,Data Analyst,sas,1
"Marketing Data Analyst, May 2020 Undergrad",Data Analyst,excel,1
"Senior Operations Data Analyst, Call Center Operations",Data Analyst,excel,1
"Senior Operations Data Analyst, Call Center Operations",Data Analyst,tableau,1
Systems Engineer II - Data Analyst,Data Analyst,excel,1
Analytics - Business Assurance Data Analyst,Data Analyst,excel,1
Analytics - Business Assurance Data Analyst,Data Analyst,SQL,1
Analytics - Business Assurance Data Analyst,Data Analyst,tableau,1
Data Analyst Senior,Data Analyst,excel,1
Data Analyst Senior,Data Analyst,SQL,1
Data Analyst Senior,Data Analyst,sas,1
Data Analyst Senior,Data Analyst,tableau,1
Corporate Risk Data Analyst (sql_ Based) - Milwaukee or,Data Analyst,excel,1
Marketing Data Analyst,Data Analyst,Python,1
Information Security Data Analyst,Data Analyst,Python,1
Information Security Data Analyst,Data Analyst,spark,1
Information Security Data Analyst,Data Analyst,hadoop,1
Consultant - Analytics Consulting,Data Analyst,excel,1
Marketing Data Analyst,Data Analyst,Business_Intelligence,1
Program/Data Analyst,Data Analyst,excel,1
Program/Data Analyst,Data Analyst,SQL,1
Program/Data Analyst,Data Analyst,tableau,1
Corporate Risk Data Analyst (sql_ Based) - Milwaukee or,Data Analyst,aws,1
CONSULTANT– DATA ANALYTICS GROUP,Data Analyst,SQL,1
Senior Quantitative Analyst,Data Analyst,Python,1
Senior Quantitative Analyst,Data Analyst,excel,1
Senior Quantitative Analyst,Data Analyst,SQL,1
Sr. Data Analyst,Data Analyst,spark,1
Senior Data Analyst/Scientist,Data Analyst,SQL,1
Senior Data Analyst/Scientist,Data Analyst,tableau,1
Senior Data Analyst/Scientist,Data Analyst,Business_Intelligence,1
Foundational Community Supports Data Analyst,Data Analyst,aws,1
Foundational Community Supports Data Analyst,Data Analyst,excel,1
Foundational Community Supports Data Analyst,Data Analyst,SQL,1
"Senior Health Data Analyst, Star Ratings",Data Analyst,SQL,1
Sr. Data Analyst,Data Analyst,Business_Intelligence,1
Data Analyst Chemist - Quality System Contractor,Data Analyst,excel,1
Supply Chain Data Analyst,Data Analyst,SQL,1
Sr Data Analyst - IT,Data Analyst,excel,1
Sr Data Analyst - IT,Data Analyst,SQL,1
Sr Data Analyst - IT,Data Analyst,tableau,1
"Data Analyst, Performance Partnership",Data Analyst,aws,1
"Data Analyst, Performance Partnership",Data Analyst,excel,1
"Data Analyst, Performance Partnership",Data Analyst,SQL,1
"Data Analyst, Performance Partnership",Data Analyst,tableau,1
"Data Analyst, Performance Partnership",Data Analyst,Business_Intelligence,1
Supply Chain Data Analyst,Data Analyst,tableau,1
"Data Analyst 1, full-time contract worker for up to 12 months",Data Analyst,aws,1
Clinical Data Analyst,Data Analyst,excel,1
Clinical Data Analyst,Data Analyst,SQL,1
Business Data Analyst,Data Analyst,Python,1
Business Data Analyst,Data Analyst,excel,1
Business Data Analyst,Data Analyst,SQL,1
Business Data Analyst,Data Analyst,Business_Intelligence,1
Business Data Analyst,Data Analyst,Google_Analytics,1
IT Associate Data Analyst,Data Analyst,SQL,1
Data Analyst 2 (Missionary Department),Data Analyst,SQL,1
Data Analyst 2 (Missionary Department),Data Analyst,tableau,1
Supply Chain Data Analyst,Data Analyst,Python,1
Supply Chain Data Analyst,Data Analyst,excel,1
"Data Analyst 1, full-time contract worker for up to 12 months",Data Analyst,excel,1
"Data Analyst 1, full-time contract worker for up to 12 months",Data Analyst,SQL,1
Products Data Analyst II,Data Analyst,excel,1
Products Data Analyst II,Data Analyst,SQL,1
Products Data Analyst II,Data Analyst,sas,1
Products Data Analyst II,Data Analyst,tableau,1
Products Data Analyst II,Data Analyst,mongo,1
Lead Data Analyst,Data Analyst,spark,1
Lead Data Analyst,Data Analyst,SQL,1
CONSULTANT– DATA ANALYTICS GROUP,Data Analyst,Python,1
Data Analyst / Scientist,Data Analyst,excel,1
Financial Data Analyst,Data Analyst,excel,1
Financial Data Analyst,Data Analyst,SQL,1
Financial Data Analyst,Data Analyst,tableau,1
E-Commerce Data Analyst,Data Analyst,SQL,1
Data Analyst - Asset Management,Data Analyst,excel,1
Data Analyst - Asset Management,Data Analyst,SQL,1
E-Commerce Data Analyst,Data Analyst,excel,1
Web Data Analyst,Data Analyst,Python,1
Web Data Analyst,Data Analyst,excel,1
Web Data Analyst,Data Analyst,SQL,1
Web Data Analyst,Data Analyst,tableau,1
Web Data Analyst,Data Analyst,Business_Intelligence,1
Data Analyst,Data Analyst,mongo,1
Data Analyst,Data Analyst,spark,1
Jr. Business Data Analyst,Data Analyst,excel,1
Jr. Business Data Analyst,Data Analyst,Google_Analytics,1
Analytics Consultant,Data Analyst,tableau,1
Analytics Consultant,Data Analyst,Python,1
Marketing Data Analyst,Data Analyst,excel,1
Marketing Data Analyst,Data Analyst,sas,1
Marketing Data Analyst,Data Analyst,Google_Analytics,1
Junior Data Analyst,Data Analyst,SQL,1
Data & Analytics Consultant (NYC),Data Analyst,SQL,1
Data & Analytics Consultant (NYC),Data Analyst,tableau,1
Data & Analytics Consultant (NYC),Data Analyst,excel,1
Survey Data Analyst,Data Analyst,excel,1
Survey Data Analyst,Data Analyst,SQL,1
Lead Health Data Analyst - Front End,Data Analyst,aws,1
Lead Health Data Analyst - Front End,Data Analyst,SQL,1
Lead Health Data Analyst - Front End,Data Analyst,sas,1
Junior Data Analyst,Data Analyst,excel,1
Survey Data Analyst,Data Analyst,Python,1
Data & Analytics Consultant (NYC),Data Analyst,Python,1
Business Intelligence Analyst / Developer,Data Analyst,SQL,1
"Business Data Analyst, sql_",Data Analyst,excel,1
System and Data Analyst,Data Analyst,excel,1
"Business Data Analyst, sql_",Data Analyst,SQL,1
"Business Data Analyst, sql_",Data Analyst,tableau,1
"Business Data Analyst, sql_",Data Analyst,Business_Intelligence,1
Data Analyst,Data Analyst,hadoop,1
Junior Data Analyst,Data Analyst,Business_Intelligence,1
Digital Marketing & ECommerce Data Analyst,Data Analyst,excel,1
Digital Marketing & ECommerce Data Analyst,Data Analyst,Google_Analytics,1
Junior Data Analyst,Data Analyst,tableau,1
Radar Data Analyst,Data Analyst,excel,1
Radar Data Analyst,Data Analyst,Python,1
Insurance Financial Data Analyst,Data Analyst,SQL,1
Information Security Data Analyst,Data Analyst,aws,1
Excel / VBA / sql_ Data Analyst,Data Analyst,SQL,1
Excel / VBA / sql_ Data Analyst,Data Analyst,excel,1
Insurance Financial Data Analyst,Data Analyst,excel,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,hadoop,1
Senior Data Engineer,Data Engineer,tensor,1
Lead Big Data Engineer,Data Engineer,Python,1
Lead Big Data Engineer,Data Engineer,spark,1
Lead Big Data Engineer,Data Engineer,aws,1
Lead Big Data Engineer,Data Engineer,excel,1
Lead Big Data Engineer,Data Engineer,hadoop,1
Sr Data Engineer (Sr BI Developer),Data Engineer,SQL,1
Sr Data Engineer (Sr BI Developer),Data Engineer,hadoop,1
Lead Data Engineer (Python),Data Engineer,aws,1
Lead Data Engineer (Python),Data Engineer,Python,1
Sr. Data Engineer (ETL Developer),Data Engineer,Python,1
Sr. Data Engineer (ETL Developer),Data Engineer,excel,1
Sr. Data Engineer (ETL Developer),Data Engineer,SQL,1
Sr. Data Engineer (ETL Developer),Data Engineer,tableau,1
Associate Data Engineer,Data Engineer,spark,1
Associate Data Engineer,Data Engineer,aws,1
Associate Data Engineer,Data Engineer,excel,1
Associate Data Engineer,Data Engineer,SQL,1
Staff BI and Data Engineer,Data Engineer,Python,1
Staff BI and Data Engineer,Data Engineer,spark,1
Staff BI and Data Engineer,Data Engineer,SQL,1
Staff BI and Data Engineer,Data Engineer,tableau,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,Python,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,spark,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,aws,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,excel,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,SQL,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,tableau,1
"Data Engineer, Data Engineering and Artifical Intelligence",Data Engineer,mongo,1
"Principal Data Engineer, Data Platform & Insights",Data Engineer,Python,1
"Principal Data Engineer, Data Platform & Insights",Data Engineer,spark,1
"Principal Data Engineer, Data Platform & Insights",Data Engineer,excel,1
"Principal Data Engineer, Data Platform & Insights",Data Engineer,SQL,1
IT - Data Engineer II,Data Engineer,spark,1
IT - Data Engineer II,Data Engineer,excel,1
IT - Data Engineer II,Data Engineer,SQL,1
IT - Data Engineer II,Data Engineer,hadoop,1
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Data Engineer,spark,1
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Data Engineer,aws,1
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Data Engineer,excel,1
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Data Engineer,SQL,1
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Data Engineer,hadoop,1
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Data Engineer,mongo,1
Sr. Data Engineer,Data Engineer,Python,1
Sr. Data Engineer,Data Engineer,spark,1
Sr. Data Engineer,Data Engineer,aws,1
Sr. Data Engineer,Data Engineer,hadoop,1
Sr. Data Engineer,Data Engineer,mongo,1
Data Engineering Analyst,Data Engineer,hadoop,1
Data Engineering Analyst,Data Engineer,SQL,1
Data Engineer - ETL,Data Engineer,aws,1
Data Engineer - ETL,Data Engineer,excel,1
Data Engineer - ETL,Data Engineer,SQL,1
Big Data Engineer,Data Engineer,SQL,1
Data Engineering Analyst,Data Engineer,Python,1
Data Engineering Analyst,Data Engineer,spark,1
Data Engineering Analyst,Data Engineer,excel,1
Data Engineer - ETL,Data Engineer,spark,1
Sr. Data Engineer | Big Data SaaS Pipeline,Data Engineer,flink,1
Sr. Data Engineer | Big Data SaaS Pipeline,Data Engineer,hadoop,1
Sr. Data Engineer | Big Data SaaS Pipeline,Data Engineer,spark,1
Sr. Data Engineer | Big Data SaaS Pipeline,Data Engineer,aws,1
Data Engineer - ETL,Data Engineer,Python,1
Software Data Engineer - College,Data Engineer,SQL,1
Data Engineer - Consultant (Charlotte Based),Data Engineer,Python,1
Staff Data Engineer,Data Engineer,Python,1
